pool_address,token_address,symbol,network,t0_timestamp,t0_date,t0_price_usd,t0_liquidity_usd,t0_mcap_usd,t0_volume_usd_15m,t0_top10_holder_pct,t0_dev_wallet_pct,t0_lp_locked_days,t0_is_token_2022,t0_has_malicious_extensions,liq_mcap_ratio,status,tfinal_timestamp,tfinal_date,tfinal_24h_price_usd,tfinal_24h_vol_usd,roi_24h,outcome_label,outcome_reason,raw_symbol,age_hours,t0_has_rtl_scam,t0_buy_sell_ratio,t0_holder_count_exact,t0_holder_count_floor,t0_holder_count_capped,t0_avg_tx_size,t0_single_wallet_vol_pct,pool_slot,creator_funding_slot,pool_time,t0_ratio_window,drop_reason
FT227GbF1WEWJkLPpPAazjSyt4cv5B9HxL6swx7u5As2,H4jXW2FwirDiaYgNhpUUidCxQpLQ5DUc78Yd2iWkpump,STONKED,solana,1786057692,2026-08-06T23:08:12.068689+00:00,2.0315567012524037e-06,1611.2259,2031.556701,0.01439175341,100.0,100.0,365,True,False,0.7931,RESOLVED,1786357172.0,2026-08-10T10:20:26.416445+00:00,2.031556701e-06,0.0,1.0,Flat / mediocre,Survived but 24.0h ROI only 1.00x,,,,,,,,,,,,,,
2LuKwRy2KynMhmcE53kWhnmG93ViXSu3YqkyEJk1sU2j,249BGzEnfpVR5iosL1ga3L3gEhkuw8ziXS6bU4LLpump,MITCH,solana,1786057694,2026-08-06T23:08:14.326436+00:00,1.4792953099705575e-06,1175.0798,2958.59062,41.5661891072,100.0,50.06,365,True,False,0.3972,RESOLVED,1786357172.0,2026-08-10T10:20:43.618356+00:00,1.47929531e-06,0.0,1.0,Flat / mediocre,Survived but 24.0h ROI only 1.00x,,,,,,,,,,,,,,
9cu2pgg5yhQvKRJuNTrTdGCtKuHvXN7qWh6FJgGNbecq,7DW5HUnWb7ecaUdWdrcHkBJ6dpQnraDHfkpmMrR9pump,CRIP,solana,1786057695,2026-08-06T23:08:15.769925+00:00,1.5615189298108311e-06,1971.485,5127.522048,1557.1687248607,100.0,59.67,365,True,False,0.3845,RESOLVED,1786357172.0,2026-08-10T10:20:59.415596+00:00,1.250180786e-06,0.0,0.8006,Flat / mediocre,Survived but 24.0h ROI only 0.80x,,,,,,,,,,,,,,
5QZXRewvFcqow99dLWvc4H5DaHqpYt93Zw9sdr18eSk,C71sdyGdJ5eJbWGsE79WYLpQCt2iNXf6cdubJApHpump,let go,solana,1786057697,2026-08-06T23:08:17.193634+00:00,3.882558826788253e-06,2979.783,7765.117654,734.7711739025,100.0,51.28,365,True,False,0.3837,RESOLVED,1786357172.0,2026-08-10T10:21:07.165525+00:00,3.880524205e-06,0.0,0.9995,Flat / mediocre,Survived but 24.0h ROI only 1.00x,,,,,,,,,,,,,,
AkZWKiUFxgGhUSdGmX2NvaeNxcRAyKCoGp8faixADp4d,HqFmugsaGjj4YPpeqGJVrnweLPvn4giLUECSjWsKpump,CRICAN,solana,1786057698,2026-08-06T23:08:18.594736+00:00,6.43026326938044e-06,2509.9021,6337.051592,277.0941963289,100.0,50.92,365,True,False,0.3961,RESOLVED,1786357172.0,2026-08-10T10:21:16.445246+00:00,6.430263269e-06,0.0,1.0,Flat / mediocre,Survived but 24.0h ROI only 1.00x,,,,,,,,,,,,,,
5YviDefYU924b6rMn5c9tBQ4aPDLTTzYKCURYA8CvGmp,88swoN9J1FJXjhHVJsXp33UFPNR97HYpsYB1qrMwpump,BUSHES,solana,1786057699,2026-08-06T23:08:19.986767+00:00,2.1670079376182443e-06,1718.6564,2167.007938,290.6496098198,100.0,100.0,365,True,False,0.7931,RESOLVED,1786357172.0,2026-08-10T10:21:29.922698+00:00,2.167007938e-06,0.0,1.0,Flat / mediocre,Survived but 24.0h ROI only 1.00x,,,,,,,,,,,,,,
CYEmzsEHyu4faTQdaLhSLVk6JTjQX4NWKBUhwvUafnq2,CKasJTsxrdBB6QKiFdd4J5Y9coWaLtPXRWHRKLHMpump,CRA$H,solana,1786057701,2026-08-06T23:08:21.378825+00:00,2.594305796722298e-07,225.4796,518.8611594,559.4073998241,100.0,53.8,365,True,False,0.4346,RESOLVED,1786357172.0,2026-08-10T10:21:38.688257+00:00,0.0,0.0,0.0,Rug / dead,24.0h ROI plummeted to 0.00x,,,,,,,,,,,,,,
DB9eJam3brQaZcYVsax1Ui2H8jbV2mNLXRCfe43aD6t1,249BFeKKPasqHXySJ9fJY3xsJ464A9HgqTup9iWvpump,Jump,solana,1786057702,2026-08-06T23:08:22.807673+00:00,2.098443345152695e-06,1716.7223,2098.443345,143.5809785677,100.0,99.9,365,True,False,0.8181,RESOLVED,1786506255.0,2026-08-12T03:44:16.677095+00:00,2.033959027e-06,0.0,0.9693,Flat / mediocre,Survived but 24.0h ROI only 0.97x,,,,,,,,,,,,,,
EGDBn7u44cbxz5p8M72HZtSjg73BZCdiPDwnCtyWfbrq,FLENupNJfyHnw7rhPzrqSoBQ5iYwk8MNzgZgPtyUHjZt,‮TSX,solana,1786057704,2026-08-06T23:08:24.241349+00:00,0.019811581203624053,794343165.4862,19811581199.9802,1039.5496680312,100.0,40.0,365,False,False,0.0401,RESOLVED,1786506255.0,2026-08-12T03:44:20.838275+00:00,0.0198115812,0.0,1.0,Flat / mediocre,Survived but 24.0h ROI only 1.00x,,,,,,,,,,,,,,
FmoCKf33Yn3qKvFEPEPSLUBrAXj7aysB59KsP7XmN6yx,4fam7Df6QRPG7PY8yUHhyGE2z4Q9k7AXBEgmrLZ6pump,HTZ,solana,1786057705,2026-08-06T23:08:25.693653+00:00,3.334668138753184e-07,259.7983,666.9336278,679.1038993817,100.0,50.7,365,True,False,0.3895,RESOLVED,1786506255.0,2026-08-12T03:44:23.830497+00:00,0.0,0.0,0.0,Rug / dead,24.0h ROI plummeted to 0.00x,,,,,,,,,,,,,,
